Quantile,Nombre d'individus,Seuil de revenu brut annuel,Revenu brut annuel moyen,IRPP,PL,PPE,CSG,Impôt total,Nouvel IR
0,503 725,0 €,0 €,"0,0 %","0,0 %","0,0 %","0,0 %","0,0 %","0,0 %"
1,503 643,0 €,0 €,"0,0 %","0,0 %","0,0 %","0,0 %","0,0 %","0,0 %"
2,503 616,0 €,0 €,"0,0 %","0,0 %","0,0 %","0,0 %","0,0 %","0,0 %"
3,503 762,0 €,0 €,"0,0 %","0,0 %","0,0 %","0,0 %","0,0 %","0,0 %"
4,503 634,0 €,0 €,"0,0 %","0,0 %","0,0 %","0,0 %","0,0 %","0,0 %"
5,503 697,0 €,0 €,"0,0 %","0,0 %","0,0 %","0,0 %","0,0 %","0,0 %"
6,503 669,0 €,0 €,"0,0 %","0,0 %","0,0 %","0,0 %","0,0 %","0,0 %"
7,503 768,0 €,2 €,"0,1 %","0,8 %","0,1 %","8,6 %","9,4 %","2,0 %"
8,503 566,12 €,40 €,"0,1 %","0,5 %","0,2 %","8,6 %","9,1 %","2,0 %"
9,503 621,79 €,143 €,"0,3 %","0,6 %","0,5 %","8,4 %","8,8 %","2,0 %"
10,503 861,235 €,403 €,"0,6 %","0,8 %","1,1 %","7,9 %","8,1 %","2,0 %"
11,503 558,588 €,832 €,"1,0 %","0,8 %","1,7 %","7,3 %","7,3 %","2,0 %"
12,503 665,1 109 €,1 398 €,"1,3 %","0,7 %","2,0 %","6,8 %","6,9 %","2,0 %"
13,503 650,1 706 €,2 017 €,"1,5 %","0,6 %","1,9 %","6,5 %","6,8 %","2,0 %"
14,503 521,2 342 €,2 678 €,"1,5 %","0,5 %","2,1 %","6,2 %","6,1 %","2,0 %"
15,504 012,3 021 €,3 365 €,"1,5 %","0,4 %","1,9 %","5,8 %","5,7 %","2,0 %"
16,503 429,3 686 €,4 017 €,"1,3 %","0,5 %","1,9 %","5,7 %","5,6 %","2,0 %"
17,503 704,4 349 €,4 671 €,"1,3 %","0,4 %","2,0 %","5,5 %","5,2 %","2,0 %"
18,503 514,4 997 €,5 293 €,"1,0 %","0,3 %","1,8 %","4,4 %","4,0 %","2,0 %"
19,503 677,5 541 €,5 867 €,"1,2 %","0,3 %","1,9 %","5,2 %","4,8 %","2,0 %"
